price,id,bedrooms,level,date,sqft_lot
7700000.0,6762700020,6,high_level,2014-10-13,27600
7062500.0,9808700762,5,high_level,2014-06-11,37325
6885000.0,9208900037,6,high_level,2014-09-19,31374
5570000.0,2470100110,5,high_level,2014-08-04,35069
5350000.0,8907500070,5,high_level,2015-04-13,23985
5300000.0,7558700030,6,high_level,2015-04-13,24829
5110800.0,1247600105,5,high_level,2014-10-20,45517
4668000.0,1924059029,5,high_level,2014-06-17,13068
4500000.0,7738500731,5,high_level,2014-08-15,40014
4489000.0,3835500195,4,high_level,2014-06-18,27517
4208000.0,6065300370,5,high_level,2015-05-06,21540
4000000.0,6447300265,4,high_level,2014-10-14,16573
3850000.0,8106100105,4,high_level,2014-11-14,21300
3800000.0,2303900100,3,high_level,2014-09-11,35000
3800000.0,853200010,5,high_level,2014-07-01,42840
3710000.0,7397300170,4,high_level,2014-05-30,28078
3650000.0,4217402115,6,high_level,2015-04-21,19401
3650000.0,4389201095,5,high_level,2015-05-11,8694
3640900.0,2425049063,4,high_level,2014-09-11,22257
3635000.0,3625049042,5,high_level,2014-10-11,19897
3600000.0,4114601570,3,high_level,2014-11-18,12431
3567000.0,9253900271,5,high_level,2015-01-07,10584
3418800.0,2525049148,5,high_level,2014-10-07,20412
3400000.0,9362000040,3,high_level,2014-06-23,17826
3400000.0,1118000320,4,high_level,2015-05-08,11765
3395000.0,3126059023,4,high_level,2015-03-03,47870
3345000.0,9808100150,5,high_level,2015-04-02,15360
3300000.0,3625059152,3,high_level,2014-12-30,41300
3300000.0,1346300150,8,high_level,2014-10-20,11750
3300000.0,3625059043,5,high_level,2014-09-04,13873
3300000.0,6072800246,5,high_level,2014-07-02,21738
3278000.0,7524900003,2,high_level,2014-12-10,10000
3204000.0,251500080,4,high_level,2014-08-26,18851
3200000.0,1068000375,6,high_level,2014-09-23,18200
3200000.0,624069108,4,high_level,2014-08-12,28206
3200000.0,8964800890,3,high_level,2015-01-09,13363
3200000.0,7159200005,7,high_level,2014-05-07,8856
3168750.0,3025059124,5,high_level,2014-08-28,11979
3120000.0,333100295,3,high_level,2014-11-24,56609
3100000.0,2424049029,6,high_level,2014-05-29,15682
3100000.0,4131900066,3,high_level,2014-08-25,13085
3100000.0,3025059093,5,high_level,2014-07-29,23669
3075000.0,3225069065,4,high_level,2014-06-24,18641
3070000.0,3760500116,3,high_level,2014-11-20,55867
3065000.0,1732800780,5,high_level,2015-02-12,7500
3000000.0,1118000340,5,high_level,2015-04-08,11265
3000000.0,3761100045,4,high_level,2014-06-18,12445
3000000.0,518500480,3,high_level,2014-08-11,10756
3000000.0,8964800330,4,high_level,2015-04-07,14823
3000000.0,9808100100,5,high_level,2015-02-02,14091
2998000.0,1925059254,5,high_level,2015-05-07,16481
2983000.0,3303850390,5,high_level,2014-12-12,18898
2950000.0,1370800515,4,high_level,2014-10-30,5884
2950000.0,3625049014,4,high_level,2014-08-29,23885
2950000.0,2524049166,5,high_level,2014-09-18,47480
2950000.0,6613000930,4,high_level,2014-09-02,25470
2945000.0,1176001310,5,high_level,2015-03-04,5722
2920000.0,5317100750,4,high_level,2014-07-11,24085
2903000.0,2624049091,5,high_level,2015-03-13,91681
2900000.0,7960900060,4,high_level,2015-05-04,20100
2900000.0,6447300365,5,high_level,2014-11-13,14600
2900000.0,7159200040,4,high_level,2014-09-17,4838
2890000.0,1118000301,4,high_level,2014-12-19,7173
2888000.0,2303900035,5,high_level,2014-06-11,64033
2885000.0,5316101075,7,high_level,2014-09-26,14400
2880500.0,2303900090,4,high_level,2014-07-29,32033
2850000.0,6065300840,4,high_level,2015-05-01,17208
2795000.0,1069000070,5,high_level,2015-04-15,12793
2750000.0,7397300220,4,high_level,2014-05-29,21000
2750000.0,3859900060,5,high_level,2015-01-12,16065
2750000.0,624069035,4,high_level,2014-12-09,5575
2725000.0,5249800010,4,high_level,2014-12-03,43838
2720000.0,2525049086,4,high_level,2014-10-03,18115
2700000.0,8043700300,4,high_level,2014-06-08,7850
2700000.0,625059036,5,high_level,2014-08-13,27295
2700000.0,5442300807,5,high_level,2014-06-24,13800
2700000.0,2524069078,4,high_level,2015-01-22,89651
2700000.0,856000195,5,high_level,2014-05-21,8401
2680000.0,2525049263,5,high_level,2014-07-09,20445
2650000.0,3126059027,4,high_level,2015-03-18,13730
2641100.0,8084900160,5,high_level,2015-02-12,16200
2630000.0,2397101606,6,high_level,2014-12-08,7200
2600000.0,2923500230,4,high_level,2014-12-16,12195
2600000.0,3623500408,3,high_level,2015-03-30,16015
2575000.0,7768700300,4,high_level,2014-12-05,15408
2575000.0,2260300060,5,high_level,2015-04-10,20440
2575000.0,5316100780,4,high_level,2014-09-22,3800
2574000.0,825059178,4,high_level,2014-09-23,20424
2555000.0,6613000935,4,high_level,2014-05-13,26211
2546000.0,1954700410,4,high_level,2014-08-01,8805
2544750.0,1118001408,5,high_level,2014-11-24,13431
2538000.0,9185700485,4,high_level,2015-04-01,6000
2537000.0,9471200370,4,high_level,2015-03-30,20000
2535000.0,7490000040,5,high_level,2014-07-18,10626
2532000.0,9471200200,4,high_level,2015-03-25,16048
